index,y_true,predicted
1,1,0.0619551
2,0,0.31248218
3,1,0.5748286
4,0,2.2304025
5,1,0.5758726
6,0,0.16503733
7,1,0.09620104
8,0,0.29488847
9,1,0.54954374
10,0,0.2158916
11,1,0.32274812
12,0,0.14367361
13,1,0.20664059
14,0,3.6355343
15,1,0.49302256
16,0,4.023427
17,1,0.37149912
18,0,0.19794416
19,1,0.12728617
20,0,0.40778843
21,1,0.032403164
22,0,0.11302998
23,1,0.22881116
24,0,0.15798104
25,1,0.15791844
26,0,0.26174426
27,1,0.58201456
28,0,0.21222883
29,1,0.37066975
30,0,0.45478222
31,1,0.093117446
32,0,0.20040628
33,1,0.02230688
34,0,0.8282533
35,1,0.023318645
36,0,0.4364376
37,1,0.14814824
38,0,0.11469611
39,1,0.046078872
40,0,0.28348088
41,1,0.20493883
42,0,0.5572157
43,1,0.16980503
44,0,0.36353245
45,1,0.11379238
46,0,0.25366002
47,1,0.22258261
48,0,0.3680708
49,1,0.38641104
50,0,0.39164147
51,1,0.32398042
52,0,0.26583713
53,1,0.15594757
54,0,0.40418407
55,1,0.18399702
56,0,0.3424245
57,1,0.09638597
58,0,0.14632891
59,1,0.08240082
60,0,0.29738536
61,1,0.08344659
62,0,0.8138238
63,1,0.20399556
64,0,0.43490252
65,1,0.61308336
66,0,0.41398618
67,1,0.546868
68,0,0.04632925
69,1,0.11177299
70,0,0.15240307
71,1,0.65651953
72,0,0.17940009
73,1,0.41314122
74,0,0.28624347
75,1,0.3026203
76,0,0.19168358
77,1,0.23800673
78,0,0.38440502
79,1,0.20800978
80,0,0.23979202
81,1,0.29140857
82,0,0.29848218
83,1,0.40635163
84,0,0.16620125
85,1,0.09175292
86,0,0.15443003
87,1,0.49296868
88,0,0.65669644
89,1,0.106377944
90,0,0.7865593
91,1,0.17834431
92,0,0.16981098
93,1,0.07432349
94,0,0.4601363
95,1,0.23582242
96,0,0.4780869
97,1,0.27116895
98,0,0.2697009
99,1,0.67112046
100,0,0.36324555
101,1,0.55793405
102,0,0.34255832
103,1,0.14140996
104,0,0.36179668
105,1,0.7034616
106,0,1.4406203
107,1,0.18742722
108,0,0.23761344
109,1,0.1311689
110,0,0.36541083
111,1,0.2932015
112,0,0.3969983
113,1,0.124291465
114,0,0.111068025
115,1,0.19766106
116,0,0.277351
117,1,0.065643005
118,0,0.17362317
119,1,0.1394673
120,0,0.3207255
121,1,0.107198514
122,0,0.32941252
123,1,0.25742227
124,0,0.21135671
125,1,0.35607326
126,0,0.28857693
127,1,0.24565664
128,0,0.61090946
129,1,0.1399809
130,0,0.36487925
131,1,0.24990144
132,0,0.46402255
133,1,0.33678475
134,0,0.8054355
135,1,0.34558195
136,0,0.58602846
137,1,0.26882723
138,0,0.36160907
139,1,0.23613775
140,0,0.32748684
141,1,0.10031191
142,0,0.3299134
143,1,0.3378785
144,0,0.12270618
145,1,0.2005374
146,0,2.7617917
147,1,0.69674754
148,0,2.8095658
149,1,0.57564276
150,0,0.9016999
151,1,0.13592133
152,0,0.3063429
153,1,0.5014678
154,0,0.39229175
155,1,0.14115572
156,0,0.14581704
157,1,0.076106034
158,0,0.0951247
159,1,0.10641769
160,0,0.6658657
161,1,0.14521664
162,0,1.0536778
163,1,0.26719606
164,0,1.0353501
165,1,0.19299166
166,0,1.5439038
167,1,0.119469136
168,0,0.2682321
169,1,0.2307409
170,0,0.3867612
171,1,0.51321363
172,0,0.47931758
173,1,0.26244903
174,0,0.2375159
175,1,0.058173727
176,0,0.0764686
177,1,0.28771222
178,0,0.122745946
179,1,0.047944847
180,0,0.7529286
181,1,0.067208745
182,0,3.4842992
183,1,0.2916197
184,0,0.41241094
185,1,0.19547473
186,0,0.69083357
187,1,0.049989723
188,0,1.3766117
189,1,0.19122747
190,0,0.4510838
191,1,0.17614485
192,0,0.21437405
193,1,0.27894253
194,0,0.5752993
195,1,0.19796063
